,Guwahati Auctions During 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guwahati Auctions During 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,Total Offer Kgs 2018,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2018,Avg Price 2018,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2017,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2017,Avg Price 2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jan-18,2-Jan-18,1,5198365.30,1531555.60,26246.40,397.70,0.00,0.00,0.00,0.00,1055.10,0.00,6757620.10,3150856.70,128.89,1207534.50,141.91,19086.40,188.23,397.70,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,906.80,171.25,0.00,0.00,4378782.10,132.74,,7-Jan-17,3-Jan-17,1,4438353.40,1636084.00,15475.60,895.40,0.00,0.00,0.00,0.00,485.60,0.00,6091294.00,2938791.40,121.57,1222403.20,129.37,14090.30,165.87,895.40,91.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,485.60,221.00,0.00,0.00,4176665.90,124.01
13-Jan-18,9-Jan-18,2,4812958.20,1725186.10,54922.10,3628.30,0.00,0.00,0.00,0.00,821.30,0.00,6597516.00,2838329.80,121.64,1274111.70,136.90,34351.00,150.91,3110.70,91.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,787.30,101.78,0.00,0.00,4150690.50,126.54,,14-Jan-17,10-Jan-17,2,4785635.60,1555805.90,15613.10,4237.00,0.00,0.00,0.00,0.00,895.00,0.00,6362186.60,3040977.70,117.49,1111331.30,125.79,12314.80,172.83,4237.00,83.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,895.00,170.25,0.00,0.00,4169755.80,119.84
20-Jan-18,16-Jan-18,3,4370115.00,1548641.05,30770.60,595.20,0.00,0.00,0.00,0.00,1462.10,0.00,5951583.95,2359481.90,116.11,1108180.85,130.16,18815.30,133.28,595.20,52.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1197.60,102.58,0.00,0.00,3488270.85,120.65,,21-Jan-17,17-Jan-17,3,4562862.80,1500529.70,20419.40,3166.60,0.00,0.00,0.00,0.00,1667.60,0.00,6088646.10,2777940.20,114.99,1087843.60,126.47,16363.20,165.26,3166.60,86.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1442.60,183.24,0.00,0.00,3886756.20,118.42
27-Jan-18,23-Jan-18,4,5034510.50,1607044.75,18812.50,2935.90,0.00,0.00,0.00,0.00,581.50,0.00,6663885.15,2492332.80,109.68,1064991.65,117.60,8546.10,140.95,2935.90,84.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.80,211.00,0.00,0.00,3568881.25,112.10,,28-Jan-17,24-Jan-17,4,4670414.10,1558641.50,21145.60,1437.10,0.00,0.00,0.00,0.00,1589.00,0.00,6253227.30,2976521.80,108.67,1147970.10,117.68,14571.50,128.66,1437.10,100.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1364.00,173.36,0.00,0.00,4141864.50,111.26
3-Feb-18,31-Jan-18,5,3249857.10,1265007.40,19796.90,4727.50,0.00,0.00,0.00,0.00,3859.10,0.00,4543248.00,1922273.60,105.92,952495.50,113.55,8925.20,119.71,4727.50,77.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2005.10,181.76,0.00,0.00,2890426.90,108.48,,4-Feb-17,31-Jan-17,5,4559774.90,1588366.90,22863.00,2795.30,0.00,0.00,0.00,0.00,1843.20,0.00,6175643.30,3229958.60,104.31,1157435.50,111.36,14022.40,162.68,2795.30,68.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1710.40,218.37,0.00,0.00,4405922.20,106.37
10-Feb-18,6-Feb-18,6,4772907.50,1170850.70,44268.40,2329.60,0.00,0.00,0.00,0.00,539.10,0.00,5990895.30,2849548.50,100.62,868355.80,117.43,34685.60,130.24,2329.60,73.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,496.90,321.86,0.00,0.00,3755416.40,104.79,,11-Feb-17,7-Feb-17,6,4202112.10,1611271.20,35101.50,4187.50,0.00,0.00,0.00,0.00,1880.60,0.00,5854552.90,3358566.50,104.66,1249122.70,108.22,24959.90,117.68,4187.50,74.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1880.60,264.37,0.00,0.00,4638717.20,105.72
17-Feb-18,13-Feb-18,7,3491784.20,847168.90,17121.10,1440.60,0.00,0.00,0.00,0.00,1434.50,0.00,4358949.30,2410897.80,99.47,639177.20,117.52,13157.40,106.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,322.50,401.41,0.00,0.00,3063554.90,103.30,,18-Feb-17,14-Feb-17,7,3717823.80,1138765.00,35422.00,2188.80,0.00,0.00,0.00,0.00,1871.10,0.00,4896070.70,2752077.10,105.75,930674.30,108.71,22484.20,119.50,2188.80,83.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1871.10,222.01,0.00,0.00,3709295.50,106.62
24-Feb-18,20-Feb-18,8,1418063.20,338221.20,16672.00,2383.60,0.00,0.00,0.00,0.00,1961.30,0.00,1777301.30,984541.90,96.67,255333.50,112.42,13001.50,96.22,1906.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,388.70,357.18,0.00,0.00,1255171.60,99.89,,25-Feb-17,22-Feb-17,8,1618447.00,431648.50,14006.80,638.50,0.00,0.00,0.00,0.00,2117.50,0.00,2066858.30,1280699.60,109.22,380188.80,113.51,10283.30,164.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1031.80,275.33,0.00,0.00,1672203.50,110.63
3-Mar-18,27-Feb-18,9,2264023.50,446647.50,7070.60,0.00,0.00,0.00,0.00,0.00,982.40,0.00,2718724.00,1448666.20,95.72,297966.20,115.70,6724.40,134.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589.70,355.67,0.00,0.00,1753946.50,99.35,,4-Mar-17,28-Feb-17,9,981155.80,436021.10,12564.40,2400.80,0.00,0.00,0.00,0.00,2021.50,0.00,1434163.60,759040.00,105.82,370635.10,107.44,8261.50,103.09,2400.80,89.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1005.70,132.60,0.00,0.00,1141343.10,106.32
10-Mar-18,6-Mar-18,10,950322.00,193700.80,12437.80,2075.70,0.00,0.00,0.00,0.00,1113.40,0.00,1159649.70,658771.70,96.50,153481.40,111.89,11866.60,100.19,2075.70,57.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,793.00,247.28,0.00,0.00,826988.40,99.46,,11-Mar-17,7-Mar-17,10,982143.70,216541.90,6535.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1205221.10,738654.40,103.48,182580.80,109.84,6197.10,99.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,927432.30,104.71
17-Mar-18,,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,18-Mar-17,14-Mar-17,11,472214.70,97607.70,1110.70,627.00,0.00,0.00,0.00,0.00,842.30,0.00,572402.40,408028.30,108.95,73561.00,112.78,1110.70,158.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,842.30,115.61,0.00,0.00,483542.30,109.66
