,Coonoor Auctions During 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coonoor Auctions During 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,Sale No.,Offer,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,Sale No.,Offer,,,,,,,,,Sold,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Total Offer Kgs 2014,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2014,Avg Price 2014,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2013,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2013,Avg Price 2013
4-Jan-14,2-Jan-14,1,937366.00,429887.50,53045.20,42614.00,0.00,0.00,0.00,0.00,1462912.70,844711.00,73.51,364413.50,81.31,43682.40,96.98,32821.00,109.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1285627.90,77.45,,5-Jan-13,3-Jan-13,1,1081040.00,386648.00,57949.00,40311.00,0.00,0.00,0.00,0.00,1565948.00,1052432.00,99.52,359585.00,100.15,53208.00,98.79,37776.00,104.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1503001.00,99.76
11-Jan-14,9-Jan-14,2,1195365.00,498093.00,75127.80,60534.00,0.00,0.00,0.00,0.00,1829119.80,1046789.00,75.33,441811.00,82.86,71664.60,98.71,49528.00,104.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1609792.60,79.35,,12-Jan-13,10-Jan-13,2,1269715.00,489176.00,77667.00,48922.00,0.00,0.00,0.00,0.00,1885480.00,1143852.00,98.98,345640.00,100.28,64128.00,99.18,40899.00,101.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1594519.00,99.34
18-Jan-14,16-Jan-14,3,873578.60,388361.00,37566.40,31467.00,0.00,0.00,0.00,0.00,1330973.00,658063.00,80.12,355317.00,84.16,30603.80,95.09,28217.00,104.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1072200.80,82.51,,19-Jan-13,17-Jan-13,3,1104074.00,437555.00,55733.00,38473.00,0.00,0.00,0.00,0.00,1635835.00,782615.00,97.44,297234.00,97.29,43172.00,96.84,23218.00,104.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1146239.00,97.53
25-Jan-14,23-Jan-14,4,789667.40,343850.50,39803.40,26693.00,0.00,0.00,0.00,0.00,1200014.30,633666.70,80.11,292981.50,86.03,31137.40,93.65,23709.00,114.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,981494.60,83.13,,26-Jan-13,24-Jan-13,4,984187.00,415037.50,42858.00,34448.00,0.00,0.00,0.00,0.00,1476530.50,880008.00,98.39,357860.50,97.46,33999.00,98.73,28384.00,99.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1300251.50,98.18
1-Feb-14,30-Jan-14,5,754362.30,326575.50,32698.40,26068.00,0.00,0.00,0.00,0.00,1139704.20,543438.70,81.38,296203.50,87.99,28699.60,97.23,21835.00,113.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,890176.80,84.88,,2-Feb-13,31-Jan-13,5,1052319.00,407510.00,42586.00,35692.00,0.00,0.00,0.00,0.00,1538107.00,902270.00,97.92,363089.00,98.90,37035.00,96.35,34269.00,98.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1336663.00,98.16
8-Feb-14,6-Feb-14,6,870567.40,381264.00,42460.40,28655.00,0.00,0.00,0.00,0.00,1322946.80,642921.00,80.66,332621.00,89.96,37292.80,96.82,27134.00,119.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1039968.80,85.22,,9-Feb-13,7-Feb-13,6,982605.00,326945.00,43062.00,28728.00,0.00,0.00,0.00,0.00,1381340.00,785821.00,98.34,286533.00,99.15,35497.00,97.18,27445.00,104.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1135296.00,98.66
15-Feb-14,13-Feb-14,7,922418.00,414049.50,44285.00,40629.00,0.00,0.00,0.00,0.00,1421381.50,626704.00,82.53,354811.50,89.78,36096.80,96.58,29112.00,107.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1046724.30,86.16,,16-Feb-13,14-Feb-13,7,1042682.00,349927.50,47694.00,31794.00,0.00,0.00,0.00,0.00,1472097.50,801929.00,98.40,308096.50,98.12,33565.00,98.96,30379.00,100.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1173969.50,98.39
