,Guwahati Auctions During 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guwahati Auctions During 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,Total Offer Kgs 2016,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2016,Avg Price 2016,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2015,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2015,Avg Price 2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Feb-16,16-Feb-16,7,1178504.10,219510.30,6907.10,0.00,0.00,0.00,0.00,0.00,0.00,1404921.50,893011.60,108.58,166562.20,106.12,2881.80,164.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1062455.60,108.34,,21-Feb-15,17-Feb-15,7,1644848.45,480416.65,3525.20,0.00,0.00,0.00,0.00,0.00,0.00,2128790.30,856962.15,104.43,295139.95,97.72,2331.80,97.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1154433.90,102.70
27-Feb-16,23-Feb-16,8,889313.20,191829.90,2768.35,0.00,0.00,0.00,0.00,0.00,0.00,1083911.45,713232.00,106.90,172577.60,115.22,1741.90,103.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,887551.50,108.51,,28-Feb-15,24-Feb-15,8,1979492.70,601185.00,641.60,0.00,0.00,0.00,0.00,0.00,0.00,2581319.30,1089435.90,106.06,336967.50,97.71,641.60,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1427045.00,104.10
5-Mar-16,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,7-Mar-15,3-Mar-15,9,1471183.20,430738.10,2263.90,0.00,0.00,0.00,0.00,0.00,0.00,1904185.20,776805.30,100.66,256255.30,102.03,1030.40,82.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1034091.00,100.98
12-Mar-16,8-Mar-16,10,1020001.60,232112.60,6475.60,0.00,0.00,0.00,0.00,0.00,0.00,1258589.80,806652.40,103.67,213175.10,111.73,5065.70,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1024893.20,105.38,,14-Mar-15,10-Mar-15,10,929625.40,237076.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1166701.40,461069.90,105.93,140546.60,101.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,601616.50,104.98
19-Mar-16,,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,21-Mar-15,,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26-Mar-16,,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,28-Mar-15,,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2-Apr-16,29-Mar-16,13,459722.30,89571.70,1658.30,0.00,0.00,0.00,0.00,0.00,0.00,550952.30,330712.30,112.95,65842.90,150.09,1415.30,151.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,397970.50,119.23,,4-Apr-15,30-Mar-15,13,1839719.90,503199.30,2148.70,0.00,0.00,0.00,0.00,0.00,0.00,2345067.90,997939.00,93.29,345561.00,87.12,2148.70,55.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1345648.70,91.65
9-Apr-16,5-Apr-16,14,515815.00,228681.80,2681.40,0.00,0.00,0.00,0.00,0.00,0.00,747178.20,350383.30,169.84,154141.00,172.10,2681.40,183.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,507205.70,170.60,,11-Apr-15,7-Apr-15,14,510490.40,182077.00,3994.20,0.00,0.00,0.00,0.00,0.00,0.00,696561.60,350565.30,135.71,129273.50,144.76,3994.20,187.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,483833.00,138.56
16-Apr-16,12-Apr-16,15,1054394.40,416909.80,4991.00,0.00,0.00,0.00,0.00,0.00,0.00,1476295.20,684319.50,153.11,300447.10,157.26,3015.50,198.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,987782.10,154.51,,18-Apr-15,17-Apr-15,15,671278.00,191203.70,4059.10,0.00,0.00,0.00,0.00,0.00,0.00,866540.80,475335.80,154.81,139160.50,163.73,3860.60,188.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,618356.90,157.02
23-Apr-16,19-Apr-16,16,1973370.70,805823.90,18335.20,0.00,0.00,0.00,0.00,0.00,0.00,2797529.80,1425311.20,145.55,525272.10,148.11,17588.50,201.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1968171.80,146.74,,25-Apr-15,22-Apr-15,16,1532557.30,480204.90,16422.00,0.00,0.00,0.00,0.00,0.00,0.00,2029184.20,1101819.70,115.88,345716.90,135.97,9748.80,189.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1457285.40,121.14
