week_ending,year,serial_no,ortho_dust_offer_qty,ortho_dust_sold_qty,ortho_dust_avg_price
3-May-14,2014,17,7243.0,3118.0,73.81
10-May-14,2014,18,9539.0,8406.0,85.69
17-May-14,2014,19,6772.0,5940.0,87.09
24-May-14,2014,20,10024.0,6026.0,86.32
31-May-14,2014,21,9050.0,3494.0,83.97
7-Jun-14,2014,22,7708.0,5293.0,84.87
14-Jun-14,2014,23,10132.0,9765.0,87.56
21-Jun-14,2014,24,13357.0,12301.0,84.59
28-Jun-14,2014,25,8507.0,3662.0,79.34
5-Jul-14,2014,26,9072.0,4589.0,69.32
12-Jul-14,2014,27,12399.0,2546.0,70.89
19-Jul-14,2014,28,12042.0,1490.0,58.53
26-Jul-14,2014,29,8701.0,7909.0,72.03
2-Aug-14,2014,30,10927.0,7004.0,76.7
9-Aug-14,2014,31,13352.0,11944.0,76.71
16-Aug-14,2014,32,12859.0,12859.0,81.39
23-Aug-14,2014,33,16259.0,12724.0,78.29
30-Aug-14,2014,34,21491.0,16194.0,74.68
6-Sep-14,2014,35,12724.0,446.0,52.0
13-Sep-14,2014,36,16824.67,9788.0,68.32
20-Sep-14,2014,37,21913.0,7122.0,49.22
27-Sep-14,2014,38,18859.0,2893.0,60.45
4-Oct-14,2014,39,21089.0,9939.0,66.21
11-Oct-14,2014,40,16517.0,1580.0,66.0
18-Oct-14,2014,41,10286.0,692.0,62.05
25-Oct-14,2014,42,16869.0,1608.0,52.78
1-Nov-14,2014,43,19798.0,6501.0,67.03
8-Nov-14,2014,44,13314.0,5873.0,78.25
15-Nov-14,2014,45,18195.0,2186.0,72.21
22-Nov-14,2014,46,11606.0,9379.0,68.11
29-Nov-14,2014,47,16814.0,11372.0,74.97
6-Dec-14,2014,48,18269.0,2588.0,70.98
13-Dec-14,2014,49,15515.0,4728.0,59.48
20-Dec-14,2014,50,6980.0,2671.0,63.3
27-Dec-14,2014,51,13588.0,3329.0,64.59
3-Jan-15,2014,52,16288.0,8145.0,67.47
17-Jan-15,2015,2,11219.0,9601.0,69.51
24-Jan-15,2015,3,14400.0,5399.0,86.14
31-Jan-15,2015,4,9806.0,7754.0,81.55
7-Feb-15,2015,5,11723.0,6995.0,77.55
14-Feb-15,2015,6,10221.0,8793.0,70.17
21-Feb-15,2015,7,11768.0,9575.0,71.05
28-Feb-15,2015,8,9053.0,5117.0,76.56
7-Mar-15,2015,9,12124.0,6636.0,72.72
14-Mar-15,2015,10,5663.0,3984.0,64.91
21-Mar-15,2015,11,11774.0,7014.0,62.51
28-Mar-15,2015,12,15909.0,7492.0,58.68
4-Apr-15,2015,13,11115.33,6163.33,62.04
11-Apr-15,2015,14,7167.0,392.0,85.0
18-Apr-15,2015,15,18434.5,7318.0,69.49
25-Apr-15,2015,16,7422.0,3175.0,69.87
2-May-15,2015,17,21958.0,12636.0,66.14
9-May-15,2015,18,14426.0,5989.0,71.65
16-May-15,2015,19,17444.0,3806.0,63.6
23-May-15,2015,20,14414.0,3966.0,71.9
30-May-15,2015,21,17442.5,7596.5,72.35
6-Jun-15,2015,22,18378.0,15529.0,67.02
13-Jun-15,2015,23,18329.0,6363.0,65.05
20-Jun-15,2015,24,13507.0,8314.0,62.64
27-Jun-15,2015,25,10075.0,6569.0,64.48
4-Jul-15,2015,26,22369.0,11213.0,64.2
11-Jul-15,2015,27,19652.0,3893.0,58.49
18-Jul-15,2015,28,15820.0,1759.0,69.03
25-Jul-15,2015,29,15914.0,5891.0,60.56
1-Aug-15,2015,30,14751.0,2067.0,60.22
8-Aug-15,2015,31,15460.0,6884.0,54.64
15-Aug-15,2015,32,15162.0,6053.0,61.1
22-Aug-15,2015,33,12550.0,4442.0,59.91
29-Aug-15,2015,34,14390.67,5793.0,58.55
5-Sep-15,2015,35,16418.0,9612.0,63.81
12-Sep-15,2015,36,17210.0,5097.0,61.35
19-Sep-15,2015,37,12139.0,3058.0,62.73
26-Sep-15,2015,38,7625.0,7625.0,77.89
3-Oct-15,2015,39,13751.0,12388.0,73.6
10-Oct-15,2015,40,16734.0,6214.0,78.5
17-Oct-15,2015,41,23730.0,10100.0,81.3
24-Oct-15,2015,42,7541.0,3021.0,75.25
31-Oct-15,2015,43,9183.0,5846.0,65.43
7-Nov-15,2015,44,15662.0,11114.0,79.36
14-Nov-15,2015,45,10968.0,10729.0,80.14
21-Nov-15,2015,46,18355.0,13818.0,81.34
28-Nov-15,2015,47,11148.0,8328.0,83.62
5-Dec-15,2015,48,8378.0,6886.0,83.36
12-Dec-15,2015,49,11963.0,10057.0,84.58
19-Dec-15,2015,50,10718.0,4343.0,72.47
26-Dec-15,2015,51,10353.0,7095.33,80.14
