,Siliguri Auctions During 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siliguri Auctions During 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2019,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2019,Avg Price 2019,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2018,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2018,Avg Price 2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Jan-19,2-Jan-19,1,3940786.50,376891.10,0.00,0.00,0.00,0.00,0.00,0.00,798.00,0.00,4318475.60,3296372.50,137.00,292431.60,133.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3588804.10,136.74,,6-Jan-18,3-Jan-18,1,3974691.60,439095.70,396.00,0.00,0.00,0.00,0.00,0.00,996.00,0.00,4415179.30,3337659.90,129.09,402539.50,134.51,396.00,326.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,996.00,83.50,0.00,0.00,3741591.40,129.68
12-Jan-19,9-Jan-19,2,3893277.80,386700.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4279978.70,3283719.00,136.01,305848.30,129.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3589567.30,135.46,,13-Jan-18,10-Jan-18,2,3867347.90,438041.40,516.00,0.00,0.00,0.00,0.00,0.00,1096.00,0.00,4307001.30,3093152.30,124.43,401145.40,129.89,516.00,310.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1096.00,73.54,0.00,0.00,3495909.70,125.07
19-Jan-19,16-Jan-19,3,3995132.60,446946.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4442079.50,3250418.20,132.14,372552.60,124.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3622970.80,131.35,,20-Jan-18,17-Jan-18,3,3982923.60,403744.00,0.00,0.00,0.00,0.00,0.00,0.00,4589.00,0.00,4391256.60,3176836.00,122.82,346969.50,128.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3523805.50,123.34
26-Jan-19,24-Jan-19,4,3904809.80,393827.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4298637.40,3100062.60,127.59,313422.30,121.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3413484.90,127.08,,27-Jan-18,25-Jan-18,4,3923575.40,112836.90,316.00,0.00,0.00,0.00,0.00,0.00,2467.00,0.00,4039195.30,2800531.20,112.29,90458.30,119.60,316.00,323.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2467.00,61.28,0.00,0.00,2893772.50,112.50
2-Feb-19,30-Jan-19,5,3656058.20,423797.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4079856.00,2622974.60,119.73,304482.20,117.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2927456.80,119.45,,3-Feb-18,1-Feb-18,"4,5",4035469.60,759818.10,496.00,0.00,0.00,0.00,0.00,0.00,1596.00,0.00,4797379.70,3108073.60,108.32,649217.70,119.45,496.00,269.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1596.00,58.50,0.00,0.00,3759383.30,110.24
9-Feb-19,6-Feb-19,6,3319910.80,356292.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3676203.60,2575036.00,115.93,285115.90,114.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2860151.90,115.83,,10-Feb-18,8-Feb-18,6,3256567.00,350732.40,416.00,0.00,0.00,0.00,0.00,0.00,2894.00,0.00,3610609.40,2627253.60,102.50,319819.50,111.56,416.00,249.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1696.00,43.51,0.00,0.00,2949185.10,103.47
