,Jalpiguri Auctions During 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,Sale No.,Offer,,,,,,,,Sold,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Green Leaf,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Green Leaf,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2012,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2012,Avg Price 2012
7-Jul-12,3-Jul-12,27,80162.30,5559.40,0.00,0.00,0.00,0.00,0.00,85721.70,48503.00,111.74,5043.30,104.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53546.30,111.09
14-Jul-12,10-Jul-12,28,90608.00,3176.80,0.00,0.00,0.00,0.00,0.00,93784.80,65403.50,111.15,858.00,96.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66261.50,110.96
21-Jul-12,17-Jul-12,29,64152.80,2106.10,0.00,0.00,0.00,0.00,0.00,66258.90,45877.80,110.54,1088.00,104.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46965.80,110.40
28-Jul-12,24-Jul-12,30,84568.50,3807.70,0.00,0.00,0.00,0.00,0.00,88376.20,60388.50,113.61,3807.70,105.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64196.20,113.15
4-Aug-12,31-Jul-12,31,67615.00,1900.10,0.00,0.00,0.00,0.00,0.00,69515.10,51813.90,107.54,1900.10,104.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53714.00,107.42
11-Aug-12,7-Aug-12,32,93921.70,1878.00,0.00,0.00,0.00,0.00,0.00,95799.70,74571.70,110.35,1878.00,107.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76449.70,110.28
25-Aug-12,21-Aug-12,33,82267.30,2434.00,0.00,0.00,0.00,0.00,0.00,84701.30,47925.00,108.86,1212.00,101.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49137.00,108.69
25-Aug-12,22-Aug-12,34,153234.00,5259.00,0.00,0.00,0.00,0.00,0.00,158493.00,97371.00,107.82,3225.00,102.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100596.00,107.66
1-Sep-12,28-Aug-12,35,104011.00,8401.00,0.00,0.00,0.00,0.00,0.00,112412.00,55216.00,107.80,7369.00,101.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62585.00,107.08
8-Sep-12,4-Sep-12,36,116273.70,6516.80,0.00,0.00,0.00,0.00,0.00,122790.50,66509.80,105.08,6516.80,105.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73026.60,105.08
15-Sep-12,11-Sep-12,37,93598.00,3118.00,0.00,0.00,0.00,0.00,0.00,96716.00,54364.20,106.97,2426.00,101.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56790.20,106.72
