,Siliguri Auctions During 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siliguri Auctions During 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Kangra Dust,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Kangra Dust,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2018,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2018,Avg Price 2018,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2017,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2017,Avg Price 2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jan-18,3-Jan-18,1,3974691.60,439095.70,396.00,0.00,0.00,0.00,0.00,0.00,996.00,0.00,4415179.30,3337659.90,129.09,402539.50,134.51,396.00,326.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,996.00,83.50,0.00,0.00,3741591.40,129.68,,7-Jan-17,4-Jan-17,1,4257891.30,492235.40,0.00,0.00,0.00,0.00,0.00,0.00,1508.00,0.00,4751634.70,3157302.20,123.31,456372.70,124.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1508.00,58.64,0.00,0.00,3615182.90,123.47
13-Jan-18,10-Jan-18,2,3867347.90,438041.40,516.00,0.00,0.00,0.00,0.00,0.00,1096.00,0.00,4307001.30,3093152.30,124.43,401145.40,129.89,516.00,310.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1096.00,73.54,0.00,0.00,3495909.70,125.07,,14-Jan-17,11-Jan-17,2,4138751.20,426576.00,0.00,0.00,0.00,0.00,0.00,0.00,498.00,0.00,4565825.20,2881785.40,120.00,344166.10,119.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498.00,66.00,0.00,0.00,3226449.50,119.96
20-Jan-18,17-Jan-18,3,3982923.60,403744.00,0.00,0.00,0.00,0.00,0.00,0.00,4589.00,0.00,4391256.60,3176836.00,122.82,346969.50,128.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3523805.50,123.34,,21-Jan-17,18-Jan-17,3,4126066.40,408885.40,0.00,0.00,0.00,0.00,0.00,0.00,746.00,0.00,4535697.80,2677833.30,114.06,340134.80,109.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,746.00,68.00,0.00,0.00,3018714.10,113.57
27-Jan-18,25-Jan-18,4,3923575.40,112836.90,316.00,0.00,0.00,0.00,0.00,0.00,2467.00,0.00,4039195.30,2800531.20,112.29,90458.30,119.60,316.00,323.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2467.00,61.28,0.00,0.00,2893772.50,112.50,,28-Jan-17,25-Jan-17,4,3642880.80,322285.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3965166.10,2708805.30,108.96,262321.70,110.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2971127.00,109.11
3-Feb-18,1-Feb-18,"4,5",4035469.60,759818.10,496.00,0.00,0.00,0.00,0.00,0.00,1596.00,0.00,4797379.70,3108073.60,108.32,649217.70,119.45,496.00,269.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1596.00,58.50,0.00,0.00,3759383.30,110.24,,4-Feb-17,2-Feb-17,5,3503678.50,309565.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3813243.70,2636370.10,105.26,278627.60,108.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2914997.70,105.52
10-Feb-18,8-Feb-18,6,3256567.00,350732.40,416.00,0.00,0.00,0.00,0.00,0.00,2894.00,0.00,3610609.40,2627253.60,102.50,319819.50,111.56,416.00,249.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1696.00,43.51,0.00,0.00,2949185.10,103.47,,11-Feb-17,9-Feb-17,6,4262154.20,439178.60,0.00,0.00,0.00,0.00,0.00,0.00,1236.45,0.00,4702569.25,3582462.20,105.25,354108.80,106.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1236.45,50.00,0.00,0.00,3937807.45,105.31
