,Cochin Auctions During 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cochin Auctions During 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,,,Week ending,Date of Sale,SR. No.,Offer,,,,,,,,,,Sold,,,,,,,,,,,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,,,,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,Kangra Leaf,Darj Leaf,Darj Dust,Green Leaf,Green Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,Kangra Leaf,,Darj Leaf,,Darj Dust,,Green Leaf,,Green Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2016,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2016,Avg Price 2016,,,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2015,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2015,Avg Price 2015
20-Feb-16,16-Feb-16,7,62805.00,929965.30,180877.00,9511.00,0.00,0.00,0.00,0.00,0.00,1183158.30,61331.00,99.77,858137.30,121.81,158115.00,127.59,9511.00,93.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1087094.30,121.16,,21-Feb-15,18-Feb-15,8,99593.50,966810.20,119911.00,11768.00,0.00,0.00,0.00,0.00,0.00,1198082.70,76599.00,74.18,874455.20,102.23,108034.00,126.67,9575.00,71.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1068663.20,102.41
27-Feb-16,23-Feb-16,8,71174.00,953744.50,140574.00,8834.00,0.00,0.00,0.00,0.00,0.00,1174326.50,53621.00,92.76,787614.30,116.14,99690.00,132.01,7713.00,92.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,948638.30,116.29,,28-Feb-15,24-Feb-15,9,88098.50,1045875.40,127932.00,9053.00,0.00,0.00,0.00,0.00,0.00,1270958.90,65645.00,71.31,893951.30,100.73,117087.00,128.55,5117.00,76.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1081800.30,101.85
5-Mar-16,1-Mar-16,9,72835.00,975302.20,132338.00,8439.00,0.00,0.00,0.00,0.00,0.00,1188914.20,53060.00,92.05,792083.9,110.84,99018.00,132.83,5268.00,85.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,949429.90,111.94,,7-Mar-15,3-Mar-15,10,112050.00,1051218.40,93176.00,12124.00,0.00,0.00,0.00,0.00,0.00,1268568.40,84916.00,72.77,857180.30,98.23,82125.00,129.24,6636.00,72.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1030857.30,98.44
12-Mar-16,8-Mar-16,10,77074.00,958938.80,146089.00,14515.00,0.00,0.00,0.00,0.00,0.00,1196616.80,58105.00,88.44,844028.60,108.55,109417.00,127.26,7846.00,90.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1019396.60,109.27,,14-Mar-15,10-Mar-15,11,73274.00,948154.20,72756.00,5663.00,0.00,0.00,0.00,0.00,0.00,1099847.20,50511.00,70.06,774280.90,97.69,61254.00,138.16,3984.00,64.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,890029.90,98.76
19-Mar-16,15-Mar-16,11,76768.00,969136.10,135033.00,10024.00,0.00,0.00,0.00,0.00,0.00,1190961.10,60339.00,87.63,928149.70,112.79,101417.00,132.50,6652.00,96.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1096557.70,113.13,,21-Mar-15,17-Mar-15,12,92123.00,961842.50,92135.00,11774.00,0.00,0.00,0.00,0.00,0.00,1157874.50,65681.00,72.08,790519.90,96.80,82122.00,126.90,7014.00,62.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,945336.90,97.45
26-Mar-16,,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,28-Mar-15,24-Mar-15,13,86619.50,985772.30,88927.00,15909.00,0.00,0.00,0.00,0.00,0.00,1177227.80,47632.00,72.03,858743.70,99.72,76205.00,132.60,7492.00,58.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,990072.70,100.60
2-Apr-16,29-Mar-16,13,77162.00,874769.20,137787.75,12720.00,0.00,0.00,0.00,0.00,0.00,1102438.95,58539.00,87.39,815813.30,118.21,117917.00,133.72,6248.00,95.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,998517.30,118.09,,4-Apr-15,,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9-Apr-16,5-Apr-16,14,70843.00,788851.20,72928.75,12924.00,0.00,0.00,0.00,0.00,0.00,945546.95,48783.00,90.69,685328.90,117.57,62067.75,151.56,3132.00,86.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,799311.65,118.45,,11-Apr-15,7-Apr-15,15,72513.00,1006330.80,85451.00,7167.00,0.00,0.00,0.00,0.00,0.00,1171461.80,50560.00,71.12,916183.60,101.72,65260.00,144.36,392.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1032395.60,102.91
16-Apr-16,12-Apr-16,15,91914.00,1068666.30,122651.00,16523.00,0.00,0.00,0.00,0.00,0.00,1299754.30,61998.00,88.31,957891.40,114.85,109040.00,149.49,14539.00,86.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1143468.40,116.35,,18-Apr-15,14-Apr-15,16,83082.50,1029267.60,98238.50,18434.50,0.00,0.00,0.00,0.00,0.00,1229023.10,65737.00,71.02,912626.30,103.24,62036.00,134.59,7318.00,69.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1047717.30,102.84
23-Apr-16,19-Apr-16,16,80036.00,1052745.80,136039.00,9875.00,0.00,0.00,0.00,0.00,0.00,1278695.80,61563.00,89.89,916755.90,112.06,121169.00,147.09,8095.00,86.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1107582.90,114.47,,25-Apr-15,22-Apr-15,17,104120.00,1372761.40,190384.00,7422.00,0.00,0.00,0.00,0.00,0.00,1674687.40,68996.00,73.14,1205105.30,99.19,146843.00,130.71,3175.00,69.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1424119.30,101.11
