Week ending,Date of Sale,SR. No.,Offer,,,,,Sold,,,,,,,,,
,,,CTC Leaf,CTC Dust,Ortho Leaf,Ortho Dust,,CTC Leaf,,CTC Dust,,Ortho Leaf,,Ortho Dust,,,
,,,Qty in Kgs,Qty in Kgs,Qty in Kgs,Qty in Kgs,Total Offer Kgs 2019,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Qty in Kgs,Avg Price,Total Sold Kgs 2019,Avg Price 2019
,,,,,,,,,,,,,,,,,
24-Aug-19,20-Aug-19,34,45303.00,1066552.10,193886.00,8947.00,1314688.10,35365.00,79.96,676768.00,108.49,83940.00,145.33,3096.00,89.41,799169.00,111.02
31-Aug-19,27-Aug-19,35,23802.00,838533.70,147033.00,9716.00,1019084.70,22962.00,82.75,647414.00,110.39,68187.00,139.01,4609.00,89.64,743172.00,112.03
7-Sep-19,3-Sep-19,36,44754.00,947433.50,146647.00,10813.00,1149647.50,31649.00,81.15,671276.30,109.40,72122.00,134.78,2173.00,91.68,777220.30,110.55
14-Sep-19,,37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21-Sep-19,17-Sep-19,38,35668.00,828120.40,149083.70,6880.00,1019752.10,32728.00,83.67,685518.20,113.24,67870.70,145.62,6132.00,91.32,792248.90,114.62
28-Sep-19,24-Sep-19,39,20474.00,747184.70,151202.00,12143.00,931003.70,19284.00,86.56,653454.80,116.54,75577.00,155.18,8867.00,94.59,757182.80,119.38
5-Oct-19,3-Oct-19,40,29684.00,836966.40,184948.00,8096.00,1059694.40,24670.00,86.07,740171.80,116.31,104010.00,174.88,6796.00,103.45,875647.80,122.32
12-Oct-19,8-Oct-19,41,19152.00,806172.30,194124.00,9516.00,1028964.30,16634.00,85.43,679452.10,116.82,110660.00,158.80,6645.00,95.54,813391.10,121.72
19-Oct-19,15-Oct-19,42,28885.00,799305.00,194849.00,7808.00,1030847.00,27733.00,84.14,651830.10,116.92,100338.00,159.43,3318.00,109.02,783219.10,121.17
26-Oct-19,25-Oct-19,43,26336.50,834382.30,183261.00,9764.00,1053743.80,21925.50,81.31,654021.00,115.82,126499.00,155.67,8876.00,105.55,811321.50,120.99
2-Nov-19,30-Oct-19,44,34598.00,918114.40,231704.00,11894.00,1196310.40,28595.00,80.83,804286.40,114.24,162824.00,148.97,11102.00,108.93,1006807.40,118.85
9-Nov-19,5-Nov-19,45,46440.00,988413.10,216784.00,12113.00,1263750.10,35542.00,80.00,871967.20,113.90,128656.00,154.49,6450.00,101.65,1042615.20,117.68
16-Nov-19,12-Nov-19,46,28652.00,802431.60,174941.70,7579.00,1013604.30,19933.00,82.77,718044.60,115.02,98676.00,152.11,4769.00,95.86,841422.60,118.50
23-Nov-19,19-Nov-19,47,31022.00,959378.80,219467.00,10473.00,1220340.80,20406.00,80.17,849809.80,116.33,99253.00,138.77,1155.00,84.88,970623.80,117.83
30-Nov-19,26-Nov-19,48,36457.00,1006148.80,193002.00,13118.00,1248725.80,17801.00,86.08,808728.80,116.65,121483.00,142.71,4387.00,84.80,952399.80,119.25
7-Dec-19,3-Dec-19,49,35657.00,941529.90,189334.00,7027.00,1173547.90,12185.00,84.15,769973.00,116.70,110189.00,145.10,0.00,0.00,892347.00,119.76
14-Dec-19,10-Dec-19,50,28768.00,957769.50,212901.00,6483.00,1205921.50,13576.00,85.86,750993.50,116.58,116725.00,144.84,2614.00,96.98,883908.50,119.78
21-Dec-19,17-Dec-19,51,34565.00,1025134.20,215376.50,6982.00,1282057.70,19960.00,86.39,893321.20,115.92,139399.50,147.65,4664.00,97.11,1057344.70,119.46
28-Dec-19,,52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31-Dec-19,30-Dec-19,53,39329.00,916902.30,169304.00,6966.00,1132501.30,21016.00,86.89,817587.50,117.23,95516.00,142.37,246.00,100.00,934365.50,119.12
